client_id,last_update_ts,reason
CLI-10006,2026-04-13,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10023,2025-09-07,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10066,2026-03-01,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10097,2026-03-08,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10112,2026-02-02,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10141,2026-01-17,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10142,2025-12-30,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10158,2026-03-02,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10168,2026-04-19,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10170,2025-11-17,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10180,2026-02-08,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10205,2026-07-19,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10209,2026-06-23,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10233,2026-04-18,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10256,2025-12-19,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10280,2025-09-11,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10294,2026-04-17,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10296,2026-01-29,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10297,2026-03-26,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10317,2026-02-04,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10330,2026-04-27,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10332,2025-11-03,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10353,2025-10-03,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10358,2025-08-13,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10367,2025-10-19,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10403,2026-04-02,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10411,2025-11-26,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10431,2026-07-14,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10454,2025-08-28,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10483,2025-11-09,last_update_ts au-delà de 30 jours (ou date invalide)
CLI-10485,2026-08-04,last_update_ts au-delà de 30 jours (ou date invalide)
