client_id,region,account_balance_eur,computed_total,reference_total,deviation_pct,reason
CLI-10009,FR-SUD,6538.78,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10010,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10012,FR-SUD,6861.04,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10018,FR-SUD,1973.46,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10019,FR-SUD,3392.42,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10028,FR-SUD,2371.56,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10031,FR-SUD,3549.24,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10035,FR-SUD,1469.50,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10037,FR-SUD,717.37,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10039,FR-SUD,3132.29,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10040,FR-SUD,6215.57,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10048,FR-SUD,2291.77,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10051,FR-SUD,4812.45,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10057,FR-SUD,326.68,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10066,FR-SUD,4521.53,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10071,FR-SUD,35.34,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10073,FR-SUD,3703.96,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10086,FR-SUD,2166.61,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10095,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10100,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10111,FR-SUD,5383.01,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10113,FR-SUD,4152.99,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10123,FR-SUD,4687.05,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10130,FR-SUD,6584.84,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10146,FR-SUD,735.02,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10147,FR-SUD,4739.67,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10153,FR-SUD,4097.36,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10159,FR-SUD,3963.06,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10162,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10174,FR-SUD,1235.73,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10175,FR-SUD,103.27,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10179,FR-SUD,5219.54,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10180,FR-SUD,4841.78,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10184,FR-SUD,2973.30,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10186,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10188,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10189,FR-SUD,5694.73,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10190,FR-SUD,4042.35,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10191,FR-SUD,6617.40,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10198,FR-SUD,3625.08,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10205,FR-SUD,923.70,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10206,FR-SUD,1132.52,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10210,FR-SUD,1364.43,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10211,FR-SUD,6957.11,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10214,FR-SUD,6123.63,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10220,FR-SUD,6103.54,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10221,FR-SUD,418.92,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10240,FR-SUD,949.11,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10253,FR-SUD,7092.79,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10262,FR-SUD,5968.49,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10263,FR-SUD,5351.69,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10271,FR-SUD,3843.62,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10278,FR-SUD,3729.72,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10287,FR-SUD,1561.33,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10293,FR-SUD,5155.17,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10297,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10298,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10301,FR-SUD,6717.16,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10308,FR-SUD,5992.90,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10323,FR-SUD,4041.23,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10324,FR-SUD,40.72,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10326,FR-SUD,5726.78,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10332,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10336,FR-SUD,3022.21,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10339,FR-SUD,1563.17,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10342,FR-SUD,7488.11,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10345,FR-SUD,3457.29,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10346,FR-SUD,300.03,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10350,FR-SUD,5843.89,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10353,FR-SUD,1594.23,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10354,FR-SUD,6723.13,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10355,FR-SUD,2863.44,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10357,FR-SUD,2725.97,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10366,FR-SUD,3156.09,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10372,FR-SUD,3232.78,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10374,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10380,FR-SUD,2854.01,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10384,FR-SUD,214.59,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10396,FR-SUD,1301.16,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10397,FR-SUD,6262.34,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10402,FR-SUD,2943.19,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10406,FR-SUD,1531.76,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10414,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10417,FR-SUD,1107.04,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10432,FR-SUD,2976.73,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10438,FR-SUD,4237.61,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10441,FR-SUD,5618.27,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10442,FR-SUD,410.65,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10444,FR-SUD,6144.02,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10446,FR-SUD,1613.82,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10462,FR-SUD,2405.84,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10467,FR-SUD,3671.25,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10469,FR-SUD,7579.44,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10481,FR-SUD,120.10,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10486,FR-SUD,5142.92,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10489,FR-SUD,1558.56,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10503,FR-SUD,3839.85,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10510,FR-SUD,6360.31,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10518,FR-SUD,0.00,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
CLI-10519,FR-SUD,7005.27,318839.38,334781.35,4.7619,écart de réconciliation sur region=FR-SUD
